epoch,train_F_mse,holdout_F_mse,train_chi_mae,holdout_chi_mae,total_batch_loss,batch_F_loss,batch_chi_loss,batch_Cv_loss,batch_guardrail_loss
1.800000000000000000e+03,3.023847284566727467e-06,5.449949185276636854e-06,1.317679416388273239e-02,1.890395209193229675e-02,3.688225115183740854e-05,1.745274289532972034e-06,4.575421917252242565e-04,4.208821803331375122e-03,0.000000000000000000e+00
1.850000000000000000e+03,1.633579813642427325e-06,4.284254373487783596e-06,1.307156682014465332e-02,1.868812553584575653e-02,3.941319664590992033e-05,1.569036612636409700e-06,4.312887322157621384e-04,5.148152355104684830e-03,0.000000000000000000e+00
1.900000000000000000e+03,1.440376763639505953e-06,3.573693902580998838e-06,1.291750837117433548e-02,1.857150346040725708e-02,3.671767626656219363e-05,1.146855311162653379e-06,4.173981724306941032e-04,4.709785338491201401e-03,1.787646738193870988e-06
1.950000000000000000e+03,1.428056407348776702e-06,3.989403467130614445e-06,1.277075987309217453e-02,1.833341456949710846e-02,3.550875408109277487e-05,1.373220584355294704e-06,3.859905700664967299e-04,4.672732204198837280e-03,2.489397843419283163e-07
2.000000000000000000e+03,1.354383130092173815e-06,3.398143689992139116e-06,1.248539797961711884e-02,1.805550418794155121e-02,3.808451947406865656e-05,1.336699597231927328e-06,4.244950541760772467e-04,4.933127667754888535e-03,1.775282726157456636e-06
2.050000000000000000e+03,1.287360760215960909e-06,3.172697233821963891e-06,1.236666645854711533e-02,1.812265627086162567e-02,3.617859329096972942e-05,1.271775090572191402e-06,4.091052105650305748e-04,4.635651595890522003e-03,0.000000000000000000e+00
2.100000000000000000e+03,1.240739948116242886e-06,3.285792217866401188e-06,1.219506189227104187e-02,1.792740635573863983e-02,3.251512316637672484e-05,1.291315470552945044e-06,3.558349271770566702e-04,4.247602075338363647e-03,0.000000000000000000e+00
2.150000000000000000e+03,1.213222503793076612e-06,3.370208787600859068e-06,1.225805934518575668e-02,1.809724420309066772e-02,3.608647239161655307e-05,1.101451971408096142e-06,3.904194454662501812e-04,4.842060618102550507e-03,0.000000000000000000e+00
2.200000000000000000e+03,1.128799453908868600e-06,3.338669330332777463e-06,1.201641280204057693e-02,1.785853691399097443e-02,3.300567186670377851e-05,9.725526979309506714e-07,3.705497365444898605e-04,4.302782006561756134e-03,0.000000000000000000e+00
2.250000000000000000e+03,8.404435334341542330e-07,2.636811132106231526e-06,1.168917212635278702e-02,1.794244721531867981e-02,3.227961133234202862e-05,8.300379477077513002e-07,3.718270454555749893e-04,4.144123289734125137e-03,0.000000000000000000e+00
2.300000000000000000e+03,8.630173624624148943e-07,2.651691147548262961e-06,1.163565088063478470e-02,1.773622073233127594e-02,3.403869050089269876e-05,9.172837849291681778e-07,3.931647806894034147e-04,4.348703660070896149e-03,0.000000000000000000e+00
2.350000000000000000e+03,9.571685950504615903e-07,3.071337459914502688e-06,1.136579643934965134e-02,1.744806207716464996e-02,3.191943324054591358e-05,7.449740451193065383e-07,3.556480805855244398e-04,4.237134009599685669e-03,0.000000000000000000e+00
2.400000000000000000e+03,9.302577268499589991e-07,2.565301429058308713e-06,1.124680880457162857e-02,1.714391261339187622e-02,3.559792821761220694e-05,1.824874743761029094e-06,3.951579274144023657e-04,4.491683561354875565e-03,0.000000000000000000e+00
2.450000000000000000e+03,1.222538799083849881e-06,2.871384367608698085e-06,1.123407203704118729e-02,1.719780266284942627e-02,3.141065462841652334e-05,1.092870434149517678e-06,3.535982395987957716e-04,4.043463151901960373e-03,0.000000000000000000e+00
2.500000000000000000e+03,9.212056966134696268e-07,2.369948560954071581e-06,1.098538469523191452e-02,1.692215166985988617e-02,3.588398612919263542e-05,1.091136482500587590e-06,3.513331175781786442e-04,5.184881389141082764e-03,0.000000000000000000e+00
2.550000000000000000e+03,2.338161721127107739e-06,4.281897872715489939e-06,1.092708948999643326e-02,1.727696135640144348e-02,2.786413824651390314e-05,8.294707072309392970e-07,2.899828832596540451e-04,3.858837764710187912e-03,0.000000000000000000e+00
2.600000000000000000e+03,6.323388674900343176e-07,1.889248551378841512e-06,1.064074691385030746e-02,1.657418720424175262e-02,3.140787521260790527e-05,7.050680324027780443e-07,3.516965080052614212e-04,4.158736206591129303e-03,0.000000000000000000e+00
